cname; iso2; iso3; year; eminq0; eminq1; eminq2; eminq3; eminq4; eminq5;
Romania; ro; rou; 2010; 244716328136.9463; 3150494943.074293; 10074465386.09119; 36913058554.71945; 68496866064.79204; 126081443188.2693;
Romania; ro; rou; 2011; 232795856522.7281; 1649508421.840997; 8937147916.181158; 35674910988.78764; 65297626898.92973; 121236662296.9886;
Romania; ro; rou; 2012; 254849780118.1648; 3141425688.143031; 9973973498.504362; 39864672736.88671; 72956418675.40553; 128913289519.2251;
Romania; ro; rou; 2013; 264411579309.7576; 2974973486.787169; 10264447440.42284; 41571577534.20306; 74535501098.60754; 135065079749.737;
Romania; ro; rou; 2014; 273801507005.2305; 1790042306.326858; 7313519742.147438; 41970417364.6901; 79563211877.40503; 143164315714.6611;
Romania; ro; rou; 2015; 298424531278.9138; 2805811250.222557; 9570320527.609583; 47499627672.72453; 83988913995.01234; 154559857833.3448;
Romania; ro; rou; 2017; 424524176788.6412; 2833527105.771593; 10473692028.41594; 71553799681.05287; 118117576140.6922; 221545581832.7086;
Romania; ro; rou; 2016; 322047373898.9455; 1804811589.944264; 9626548898.721598; 54289951674.44315; 91479637492.31622; 164846424243.5202;
Romania; ro; rou; 2018; 597293866610.1649; 2872310291.765262; 11966999933.27952; 98468497734.75029; 168171985988.8342; 315814072661.5356;
Romania; ro; rou; 2019; 645405193922.9181; 3132400529.445551; 12777865151.32902; 110147050776.9626; 191066817860.5595; 328281059604.6215;
Romania; ro; rou; 2020; 721740978091.5302; 2066764462.609477; 12973804153.51702; 116951447357.2375; 216069876384.5539; 373679085733.6124;
Romania; ro; rou; 2021; 807068828205.9303; 3324127879.225888; 15575479248.76625; 149987631025.4549; 248760964607.7773; 389420625444.7059;
Russia; ru; rus; 2000; 3041821180880.501; 6679545253.770618; 130352620760.5357; 376213857383.7315; 707578649095.8365; 1820996508386.627;
Russia; ru; rus; 2004; 7931005985910.593; 9721641333.719114; 352453482117.2874; 1070908445520.189; 1979985561711.705; 4517936855227.693;
Russia; ru; rus; 2007; 13397759608000.47; 22479431486.5723; 753537204499.502; 2028877225380.666; 3578739996979.14; 7014125749654.593;
Russia; ru; rus; 2010; 22818599568481.17; 55399345681.48601; 1463545262032.113; 3427940174255.699; 5895949513803.005; 11975765272708.87;
Russia; ru; rus; 2011; 42567559264667.59; 212478902280.3386; 3283043808713.404; 6662129423007.221; 10476930464356.73; 21932976666309.89;
Russia; ru; rus; 2013; 53982251098253.97; 395883176270.0099; 4713077633470.723; 8585608438623.905; 13336919621987.24; 26950762227902.09;
Russia; ru; rus; 2014; 57224857833171.48; 536224158148.7403; 5370266876416.621; 9267350874638.504; 14419598319857.21; 27631417604110.41;
Russia; ru; rus; 2015; 61671825927574.87; 769596661673.9132; 6124025125578.899; 10269318597441.85; 15516604010271.88; 28992281532608.33;
Russia; ru; rus; 2016; 63068674710120.61; 660512531782.9666; 6368290893115.606; 10576592371849.98; 15590221977533.69; 29873056935838.36;
Russia; ru; rus; 2017; 63330258452403.69; 595199556925.6974; 6484516234558.822; 10894705159791.34; 15967437331355.23; 29388400169772.6;
Russia; ru; rus; 2018; 67165443217475.89; 647989443860.661; 6890592906231.04; 11577615765917.03; 16611828603194.82; 31437416498272.35;
Russia; ru; rus; 2019; 70897349363070.81; 679163095380.1851; 7362066068331.021; 12259349195343.86; 17476721397940.37; 33120049606075.37;
Russia; ru; rus; 2020; 72351772553099.41; 561109698379.1362; 7734969175614.144; 12946354871681.71; 18218953138805.06; 32890385668619.36;
Russia; ru; rus; 2021; 80702499123373.22; 613488802315.1232; 8653781491577.846; 14213661123074.21; 20334885957122.75; 36886681749283.29;
Russia; ru; rus; 2022; 90398943265983.09; 1225838864781.398; 10234988242120.09; 16261166193396.72; 23119740115797.26; 39557209849887.63;
Serbia; rs; srb; 2006; 1255777089493.809; -14121894548.2707; 50065110630.6545; 201377542371.9371; 368648732925.5905; 649807598113.8976;
Serbia; rs; srb; 2007; 1383329414699.81; -13477167367.58804; 44853228717.14354; 211635516963.8191; 403229345932.4324; 737088490454.0033;
Serbia; rs; srb; 2008; 1626609221988.645; -23719131032.56996; 46539931542.47388; 257056852649.4055; 465559437988.6741; 881172130840.6611;
Serbia; rs; srb; 2009; 1672775581035.678; -16900510996.09516; 27947613402.81281; 248803146044.2339; 491196837343.1432; 921728495241.5834;
Serbia; rs; srb; 2010; 1593622591549.031; -15581879728.65642; 16025018136.05294; 215144305793.0824; 457489386843.5989; 920545760504.953;
Serbia; rs; srb; 2011; 1727941178520.909; -21389838385.70815; 19831116501.75434; 247729705252.9643; 509190743951.7327; 972579451200.1655;
Serbia; rs; srb; 2012; 1639592971025.382; -42099963486.60138; 12375031232.15061; 216756310792.1481; 471238551791.0024; 981323040696.682;
Serbia; rs; srb; 2013; 1839383179568.536; -34919772285.6186; 18290284938.29352; 257387883491.2095; 521186830555.9089; 1077437952868.743;
Serbia; rs; srb; 2014; 1970525876145.399; -30037436761.30429; 24928997277.18159; 298397158748.9316; 564610888426.459; 1112626268454.131;
Serbia; rs; srb; 2015; 2064201954942.365; -27823702072.73023; 37503522874.05501; 313053562966.6061; 596686726035.321; 1144781845139.113;
Serbia; rs; srb; 2016; 2133013900670.022; -23500611659.46523; 27565950301.30939; 320167594324.0393; 627423980642.2759; 1181356987061.863;
Serbia; rs; srb; 2017; 2221361346676.918; -17593180343.71107; 18679349257.04334; 342822669231.2089; 651899617116.2998; 1225552891416.077;
Serbia; rs; srb; 2018; 2224206410744.908; -28096936279.15599; 11760323255.55295; 316037722177.5633; 645113706802.3829; 1279391594788.565;
